fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2021-09-30,USD,1874000000,None,None,29000000,166000000,476000000,343000000,-13000000,179000000,1437000000,-389000000,-1299000000,0,527000000,527000000,None,856000000,856000000,None,None,None,None,-441000000,86000000,1437000000,None,1434000000,MMM
2021-06-30,USD,1887000000,None,None,73000000,472000000,472000000,394000000,132000000,340000000,1525000000,-674000000,-1183000000,-2000000,503000000,503000000,None,858000000,858000000,None,None,None,None,-316000000,187000000,1525000000,29000000,1524000000,MMM
2021-03-31,USD,1688000000,None,None,197000000,509000000,460000000,310000000,205000000,304000000,1627000000,-369000000,-1251000000,6000000,231000000,231000000,None,858000000,858000000,None,None,None,None,62000000,293000000,2000000,-66000000,1624000000,MMM
2020-12-31,USD,2515000000,None,None,286000000,82000000,498000000,422000000,-52000000,134000000,1390000000,-259000000,-1802000000,-5000000,2000000,2000000,None,848000000,848000000,None,None,None,None,102000000,104000000,1390000000,59000000,1389000000,MMM
2020-09-30,USD,2480000000,None,None,94000000,-113000000,481000000,368000000,128000000,-241000000,1434000000,-523000000,-2097000000,-6000000,0,0,None,847000000,847000000,None,None,None,None,89000000,89000000,1417000000,42000000,1430000000,MMM
2020-06-30,USD,1905000000,None,None,-76000000,-393000000,492000000,379000000,-384000000,-9000000,1303000000,577000000,-2509000000,-594000000,1000000,1000000,None,846000000,846000000,None,None,None,None,86000000,87000000,1287000000,-7000000,1306000000,MMM
2020-03-31,USD,1213000000,None,None,80000000,350000000,440000000,332000000,143000000,207000000,1310000000,-375000000,1108000000,462000000,365000000,365000000,None,847000000,847000000,None,None,None,None,-216000000,149000000,1900000000,-46000000,1308000000,MMM
2019-12-31,USD,2338000000,449000000,None,363000000,-474000000,463000000,538000000,-359000000,-115000000,970000000,-5299000000,-2451000000,150000000,164000000,164000000,None,828000000,828000000,None,None,None,None,-54000000,110000000,970000000,34000000,969000000,MMM
2019-09-30,USD,2022000000,76000000,None,61000000,-424000000,379000000,349000000,-244000000,-180000000,1588000000,90000000,2804000000,-25000000,142000000,142000000,None,828000000,828000000,None,None,None,None,-70000000,72000000,1588000000,-34000000,1583000000,MMM
2019-06-30,USD,1662000000,None,None,-333000000,-73000000,376000000,421000000,180000000,-253000000,1131000000,-10000000,-1735000000,-13000000,400000000,400000000,None,830000000,830000000,None,None,None,None,-250000000,150000000,1131000000,-6000000,1127000000,MMM
2019-03-31,USD,1048000000,None,None,-3000000,256000000,375000000,391000000,78000000,178000000,893000000,-1225000000,258000000,-428000000,701000000,701000000,None,830000000,830000000,None,None,None,None,-486000000,215000000,85000000,4000000,891000000,MMM
2018-12-31,USD,2258000000,None,None,272000000,-344000000,371000000,531000000,-291000000,-53000000,1349000000,-416000000,-2152000000,414000000,1269000000,1269000000,None,787000000,787000000,None,None,None,None,-1185000000,84000000,1349000000,-22000000,1347000000,MMM
2018-09-30,USD,2139000000,None,None,48000000,215000000,355000000,377000000,-10000000,225000000,1546000000,-269000000,-1453000000,-1472000000,1064000000,1064000000,None,794000000,794000000,None,None,None,None,-968000000,96000000,1546000000,-33000000,1543000000,MMM
2018-06-30,USD,1899000000,None,None,98000000,474000000,380000000,365000000,346000000,128000000,1862000000,626000000,-3142000000,-807000000,1600000000,1600000000,None,802000000,802000000,None,None,None,None,-1514000000,86000000,1862000000,-73000000,1857000000,MMM
2018-03-31,USD,143000000,None,None,124000000,469000000,382000000,304000000,260000000,209000000,606000000,281000000,46000000,1581000000,937000000,937000000,None,810000000,810000000,None,None,None,None,-718000000,219000000,438000000,-32000000,602000000,MMM
2017-12-31,USD,1860000000,None,None,767000000,-399000000,349000000,459000000,-350000000,-49000000,525000000,-2732000000,1044000000,518000000,504000000,504000000,None,699000000,699000000,None,None,None,None,-352000000,152000000,525000000,50000000,523000000,MMM
2017-09-30,USD,1750000000,None,None,27000000,272000000,377000000,325000000,183000000,89000000,1433000000,-781000000,-843000000,173000000,380000000,380000000,None,701000000,701000000,None,None,None,None,-294000000,86000000,1433000000,51000000,1429000000,MMM
2017-06-30,USD,1642000000,None,None,96000000,373000000,380000000,302000000,175000000,198000000,1585000000,517000000,-1705000000,-45000000,494000000,494000000,None,701000000,701000000,None,None,None,None,-313000000,181000000,1585000000,27000000,1583000000,MMM
2017-03-31,USD,988000000,None,None,101000000,386000000,438000000,287000000,237000000,149000000,1326000000,-90000000,-1151000000,-68000000,690000000,690000000,None,702000000,702000000,None,None,None,None,-375000000,315000000,-225000000,28000000,1323000000,MMM
2016-12-31,USD,2209000000,203000000,None,201000000,-228000000,384000000,436000000,-156000000,-72000000,1156000000,-230000000,-1846000000,-299000000,924000000,924000000,None,664000000,664000000,None,None,None,None,-861000000,63000000,90000000,-43000000,1155000000,MMM
2021-09-30,USD,180800000,None,None,None,None,19000000,14600000,None,None,131600000,-85300000,-54200000,None,13900000,13900000,None,41500000,41500000,None,None,0,None,-13900000,None,132100000,None,131600000,AOS
2021-06-30,USD,91600000,None,None,None,None,19500000,13600000,None,None,118200000,-62500000,-162800000,None,131100000,131100000,None,41700000,41700000,None,None,0,None,-131100000,None,118700000,None,118200000,AOS
2021-03-31,USD,104400000,None,None,None,None,19500000,17100000,None,None,97700000,12500000,-111500000,0,67000000,67000000,None,42200000,42200000,None,None,0,None,-67000000,None,5400000,None,97700000,AOS
2020-12-31,USD,231700000,None,None,None,None,19300000,20100000,None,2900000,324100000,-600000,-35900000,0,0,0,None,42200000,42200000,None,None,0,None,0,None,324100000,None,120000000,AOS
2020-09-30,USD,151100000,2500000,None,None,None,20700000,11900000,None,2900000,105400000,-11800000,-204100000,0,0,0,None,38700000,38700000,None,None,0,None,0,None,103400000,None,105400000,AOS
2020-06-30,USD,125200000,2500000,None,None,None,19900000,12000000,None,2900000,67800000,-2200000,-96400000,0,0,0,None,38800000,38800000,None,None,0,None,0,None,68500000,None,67800000,AOS
2020-03-31,USD,54100000,None,None,None,None,20100000,12800000,None,2900000,51700000,26400000,-38400000,0,56700000,56700000,None,39000000,39000000,None,None,58500000,None,-56700000,None,42100000,None,51700000,AOS
2019-12-31,USD,176200000,600000,None,None,None,20200000,14100000,None,6300000,295000000,109700000,-131300000,0,57700000,57700000,None,39200000,39200000,None,None,-35300000,None,-57700000,None,295000000,None,91300000,AOS
2019-09-30,USD,136300000,200000,None,None,None,19700000,13800000,None,6300000,87300000,-23800000,-174700000,0,97400000,97400000,None,36000000,36000000,None,None,0,None,-97400000,None,87800000,None,87300000,AOS
2019-06-30,USD,122100000,100000,None,None,None,18200000,15600000,None,6300000,102100000,-129800000,-48500000,0,87000000,87000000,None,36900000,36900000,None,None,0,None,-87000000,None,-56200000,None,102100000,AOS
2019-03-31,USD,21600000,100000,None,None,None,20200000,20900000,None,6300000,89300000,77800000,-21300000,0,45600000,45600000,None,37100000,37100000,None,None,0,None,-45600000,None,78100000,None,89300000,AOS
2018-12-31,USD,159700000,-24800000,None,None,None,18700000,26700000,None,-7700000,337000000,-27100000,-105900000,0,96600000,96600000,None,37600000,37600000,None,None,0,None,-96600000,None,26700000,None,126300000,AOS
2018-09-30,USD,116000000,0,None,None,None,17800000,19000000,None,-7700000,104600000,-19700000,-123300000,0,36300000,36300000,None,30700000,30700000,None,None,0,None,-36300000,None,-27000000,None,104600000,AOS
2018-06-30,USD,130000000,0,None,None,None,17500000,22200000,None,-7700000,114500000,-800000,-111100000,0,36600000,36600000,None,30800000,30800000,None,None,0,None,-36600000,None,18100000,None,114500000,AOS
2018-03-31,USD,43200000,30000000,None,None,None,17900000,17300000,None,-7700000,98800000,34900000,-182800000,0,33100000,33100000,None,31000000,31000000,None,None,0,None,-33100000,None,-104700000,None,98800000,AOS
2017-12-31,USD,176200000,-30000000,None,None,None,18200000,27800000,None,-37500000,323800000,-46600000,-104900000,0,35800000,35800000,None,24100000,24100000,None,None,-39300000,None,-35800000,None,24700000,None,22700000,AOS
2017-09-30,USD,77000000,30000000,None,None,None,17600000,30100000,None,None,93700000,-75300000,13600000,0,37100000,37100000,None,24200000,24200000,None,None,74500000,None,-37100000,None,15300000,None,93700000,AOS
2017-06-30,USD,129200000,0,None,None,None,17400000,19500000,None,None,92400000,-18300000,-53200000,0,36100000,36100000,None,24200000,24200000,None,None,0,None,-36100000,None,13200000,None,92400000,AOS
2017-03-31,USD,-19700000,30000000,None,None,None,16900000,16800000,None,None,87700000,-17900000,-7600000,0,30100000,30100000,None,24400000,24400000,None,None,0,None,-30100000,None,-37000000,None,87700000,AOS
2016-12-31,USD,183000000,None,None,None,None,16400000,22000000,None,-23400000,289600000,-53700000,-68200000,0,35000000,35000000,None,21000000,21000000,None,None,-12400000,None,-35000000,None,61100000,None,82700000,AOS
2021-09-30,USD,2701000000,275000000,None,None,323000000,847000000,461000000,394000000,-71000000,2100000000,-651000000,-1377000000,-27000000,579000000,579000000,None,801000000,801000000,None,None,0,None,-509000000,None,4593000000,None,2100000000,ABT
2021-06-30,USD,2128000000,445000000,None,None,-30000000,874000000,413000000,-35000000,5000000,1189000000,-264000000,-1264000000,-4000000,471000000,471000000,None,803000000,803000000,None,None,0,None,-454000000,None,2537000000,None,1189000000,ABT
2021-03-31,USD,2637000000,270000000,None,None,372000000,934000000,397000000,-165000000,537000000,1793000000,-422000000,-967000000,24000000,275000000,275000000,None,800000000,800000000,None,None,0,None,-189000000,None,1248000000,None,1793000000,ABT
2020-12-31,USD,3798000000,113000000,None,None,863000000,866000000,679000000,581000000,-345000000,2162000000,-731000000,-787000000,-1000000,161000000,161000000,None,641000000,641000000,None,None,1000000,None,-145000000,None,2280000000,None,2162000000,ABT
2020-09-30,USD,2066000000,415000000,None,None,321000000,808000000,496000000,470000000,-149000000,1232000000,-472000000,-1915000000,-28000000,2000000,2000000,None,639000000,639000000,None,None,1000000,None,81000000,None,2653000000,None,1232000000,ABT
2020-06-30,USD,1322000000,160000000,None,None,319000000,825000000,642000000,-231000000,550000000,537000000,-619000000,658000000,-20000000,4000000,4000000,None,642000000,642000000,None,None,0,None,53000000,None,537000000,None,537000000,ABT
2020-03-31,USD,715000000,125000000,None,None,541000000,828000000,360000000,104000000,437000000,564000000,-393000000,-735000000,51000000,236000000,236000000,None,638000000,638000000,None,None,0,None,-147000000,None,-413000000,None,564000000,ABT
2019-12-31,USD,2416000000,-35000000,None,None,-81000000,756000000,434000000,-82000000,-137000000,1049000000,-489000000,-2185000000,0,496000000,496000000,None,568000000,568000000,None,None,0,None,-489000000,None,1049000000,None,1049000000,ABT
2019-09-30,USD,1948000000,64000000,None,None,212000000,754000000,401000000,22000000,190000000,960000000,-432000000,-513000000,12000000,1000000,1000000,None,569000000,569000000,None,None,0,None,46000000,None,896000000,None,960000000,ABT
2019-06-30,USD,1060000000,63000000,None,None,419000000,751000000,468000000,165000000,254000000,1006000000,-498000000,-449000000,27000000,4000000,4000000,None,568000000,568000000,None,None,0,None,113000000,None,943000000,None,1006000000,ABT
2019-03-31,USD,712000000,185000000,None,None,456000000,753000000,335000000,170000000,286000000,672000000,-396000000,-1142000000,13000000,217000000,217000000,None,565000000,565000000,None,None,0,None,-90000000,None,-826000000,None,672000000,ABT
2018-12-31,USD,1765000000,None,None,None,-49000000,763000000,467000000,-90000000,64000000,654000000,-496000000,-4776000000,-48000000,104000000,104000000,None,495000000,495000000,None,None,-2000000,None,-77000000,None,655000000,None,654000000,ABT
2018-09-30,USD,2183000000,None,None,None,257000000,813000000,354000000,143000000,114000000,563000000,-323000000,2471000000,-118000000,3000000,3000000,None,494000000,494000000,None,None,0,None,71000000,None,496000000,None,563000000,ABT
2018-06-30,USD,1244000000,205000000,None,None,249000000,850000000,298000000,84000000,165000000,733000000,-299000000,-1631000000,134000000,3000000,3000000,None,494000000,494000000,None,None,0,None,30000000,None,733000000,None,733000000,ABT
2018-03-31,USD,1108000000,220000000,None,None,224000000,852000000,275000000,53000000,171000000,418000000,-238000000,-6455000000,6000000,128000000,128000000,None,491000000,491000000,None,None,0,None,9000000,None,-5550000000,35000000,418000000,ABT
2017-12-31,USD,1640000000,None,None,None,-281000000,848000000,345000000,38000000,-210000000,-828000000,-3152000000,-112000000,390000000,11000000,721000000,None,464000000,464000000,None,None,0,None,-646000000,None,-1605000000,19000000,-828000000,ABT
2017-09-30,USD,2005000000,None,None,None,-53000000,756000000,263000000,113000000,-166000000,603000000,-306000000,-386000000,5000000,8000000,8000000,None,463000000,463000000,None,None,0,None,81000000,None,1337000000,24000000,603000000,ABT
2017-06-30,USD,1351000000,None,None,None,51000000,648000000,255000000,86000000,-35000000,283000000,-6000000,-384000000,26000000,3000000,3000000,None,462000000,462000000,None,None,0,None,54000000,None,969000000,8000000,283000000,ABT
2017-03-31,USD,574000000,160000000,None,None,132000000,774000000,272000000,-30000000,162000000,419000000,-6154000000,-4399000000,-1455000000,95000000,95000000,None,460000000,460000000,None,None,0,None,34000000,None,-9914000000,65000000,419000000,ABT
2016-12-31,USD,1170000000,None,None,None,-106000000,484000000,564000000,61000000,-54000000,798000000,1550000000,13504000000,-1085000000,0,0,None,386000000,386000000,None,None,0,None,42000000,None,16120000000,-104000000,798000000,ABT
2021-09-30,USD,7935000000,None,None,1146000000,-628000000,2123000000,217000000,-590000000,-219000000,3180000000,-615000000,-3643000000,0,6000000,6000000,None,2315000000,2315000000,None,None,1000000000,None,19000000,None,3403000000,-41000000,3179000000,ABBV
2021-06-30,USD,4890000000,None,None,72000000,309000000,2201000000,195000000,296000000,62000000,769000000,-242000000,-5884000000,0,10000000,10000000,None,2310000000,2310000000,None,None,0,None,63000000,None,970000000,27000000,766000000,ABBV
2021-03-31,USD,4877000000,None,None,236000000,1383000000,2215000000,188000000,866000000,187000000,3555000000,-342000000,-3174000000,0,787000000,787000000,None,2322000000,2322000000,None,None,0,None,-716000000,None,1306000000,-55000000,3553000000,ABBV
2020-12-31,USD,4854000000,None,None,-389000000,258000000,2060000000,279000000,355000000,-153000000,38000000,-627000000,-3695000000,0,296000000,296000000,None,2101000000,2101000000,None,None,0,None,-196000000,None,13874000000,27000000,36000000,ABBV
2020-09-30,USD,5830000000,None,None,1437000000,-30000000,2275000000,217000000,31000000,-111000000,2313000000,-1149000000,-2814000000,0,20000000,20000000,None,2100000000,2100000000,None,None,0,None,12000000,None,2488000000,6000000,2308000000,ABBV
2020-06-30,USD,3089000000,None,None,-599000000,-544000000,1549000000,177000000,-482000000,197000000,-739000000,-35652000000,-2570000000,0,19000000,19000000,None,1752000000,1752000000,None,None,0,None,46000000,None,-590000000,8000000,-738000000,ABBV
2020-03-31,USD,3815000000,None,None,1065000000,1151000000,559000000,125000000,1025000000,107000000,3010000000,-129000000,-2422000000,0,643000000,643000000,None,1763000000,1763000000,None,None,0,None,-631000000,None,1218000000,-46000000,3010000000,ABBV
2019-12-31,USD,3275000000,3287000000,None,-539000000,-217000000,509000000,163000000,-133000000,-170000000,2801000000,-615000000,26602000000,0,2000000,2000000,None,1595000000,1595000000,None,None,29948000000,None,0,None,29276000000,14000000,2801000000,ABBV
2019-09-30,USD,4555000000,None,None,705000000,-56000000,503000000,154000000,111000000,113000000,1884000000,1378000000,-441000000,-306000000,4000000,4000000,None,1591000000,1591000000,None,None,0,None,-3000000,None,5476000000,-16000000,1884000000,ABBV
